Noise Level,MSE,MAE,MSE Increase,MAE Increase,MSE Increase %,MAE Increase %
0% (Clean),0.0004379035125466301,0.01716636890623093,0.0,0.0,0.0,0.0
0%,0.0004379035125466301,0.01716636890623093,0.0,0.0,0.0,0.0
1%,0.0005040523742753053,0.017864648444484866,6.614886172867516e-05,0.0006982795382539375,15.105807520014194,4.067718351319368
5%,0.001654198128133482,0.024435082666917365,0.001216294615586852,0.007268713760686437,277.75402131704413,42.34275635337238
10%,0.00397183898777699,0.033441033824502205,0.0035339354752303596,0.016274664918271276,807.0123609373992,94.80551773744075
20%,0.011470398785950917,0.05482600680549333,0.011032495273404287,0.037659637899262396,2519.389536120584,219.38033666276954
0% (Clean),0.0004379035125466301,0.01716636890623093,0.0,0.0,0.0,0.0
0%,0.0004379035125466301,0.01716636890623093,0.0,0.0,0.0,0.0
1%,0.00045625074008725846,0.017332137125575246,1.8347227540628367e-05,0.00016576821934431718,4.189787707782925,0.9656568622625126
5%,0.0008706414948172732,0.020593073355064988,0.0004327379822706431,0.0034267044488340594,98.82039533185134,19.96173138042174
10%,0.0020427660113190955,0.02624610396831603,0.0016048624987724655,0.009079735062085103,366.48769712747435,52.89257799178139
20%,0.005005481921741558,0.037299163656837026,0.004567578409194928,0.020132794750606097,1043.0558966362596,117.28045028380134
0% (Clean),0.0004379035125466301,0.01716636890623093,0.0,0.0,0.0,0.0
0%,0.0004379035125466301,0.01716636890623093,0.0,0.0,0.0,0.0
1%,0.003092713791095342,0.025540955456874015,0.002654810278548712,0.008374586550643087,606.2546205920225,48.78484551035914
5%,0.011705965765209748,0.05192669939370831,0.011268062252663118,0.034760330487477384,2573.183801868509,202.4908743214782
10%,0.020089011750943634,0.07125826431789128,0.019651108238397004,0.05409189541166036,4487.542957606319,315.10388543512227
20%,0.03395100243221823,0.1009879047808858,0.033513098919671594,0.08382153587465488,7653.078351615861,488.2892610109872
