Model,Noise Level,MAE,MSE,RMSE
MLP,1.0%,0.017992573197868934,0.0005142173387814158,0.022676360792274756
CNN,1.0%,0.05449426826393855,0.004590530385670429,0.06775345294278683
ResNet,1.0%,0.08759212503526369,0.0145540615217112,0.12064021519257664
MLP,5.0%,0.025634224605001487,0.0019921407446684618,0.04463340391084308
CNN,5.0%,0.05657687654873978,0.005180100466375111,0.0719729148108864
ResNet,5.0%,0.08787602721558274,0.014581643199226514,0.1207544748621206
MLP,10.0%,0.036455167005521545,0.00459043573471138,0.06775275444372265
CNN,10.0%,0.06012360288122048,0.006447849171120577,0.080298500428841
ResNet,10.0%,0.08784571994065006,0.014596358940250334,0.12081539198401144
